Date,ls-ratio
2021-10-06,35.58
2021-10-07,36.39
2021-10-08,36.02
2021-10-09,32.56
2021-10-10,22.06
2021-10-11,21.24
2021-10-12,23.32
2021-10-13,23.43
2021-10-14,21.53
2021-10-15,22.96
2021-10-16,23.92
2021-10-17,26.16
2021-10-18,29.33
2021-10-19,26.36
2021-10-20,26.4
2021-10-21,49.03
2021-10-22,62.94
2021-10-23,59.33
2021-10-24,63.82
2021-10-25,69.17
2021-10-26,61.39
2021-10-27,54.64
2021-10-28,60.55
2021-10-29,59.99
2021-10-30,57.79
2021-10-31,65.63
2021-11-01,70.85
2021-11-02,62.28
2021-11-03,61.66
2021-11-04,74.74
2021-11-05,64.75
2021-11-06,64.6
2021-11-07,64.49
2021-11-08,66.92
2021-11-09,74.24
2021-11-10,38.29
2021-11-11,42
2021-11-12,41.38
2021-11-13,41.36
2021-11-14,43.44
2021-11-15,42.65
2021-11-16,42.31
2021-11-17,29.17
2021-11-18,23.43
2021-11-19,27.33
2021-11-20,29.08
2021-11-21,31.07
2021-11-22,18.62
2021-11-23,14.5
2021-11-24,9.94
2021-11-25,11.07
2021-11-26,8.97
2021-11-27,9.26
2021-11-28,8.81
2021-11-29,11.03
2021-11-30,11.75
2021-12-01,11.09
2021-12-02,10.34
2021-12-03,9.85
2021-12-04,14.85
2021-12-05,16.59
2021-12-06,18.15
2021-12-07,24.06
2021-12-08,25.82
2021-12-09,27.76
2021-12-10,24.87
2021-12-11,24.08
2021-12-12,24.32
2021-12-13,24.39
2021-12-14,23.53
2021-12-15,24.01
2021-12-16,26.33
2021-12-17,25.81
2021-12-18,21.89
2021-12-19,20.98
2021-12-20,25.34
2021-12-21,25.02
2021-12-22,28.98
2021-12-23,32.36
2021-12-24,33.29
2021-12-25,32.88
2021-12-26,34.13
2021-12-27,35.26
2021-12-28,31.63
2021-12-29,30.74
2021-12-30,28.01
2021-12-31,29.27
