Date,Momentum,,,,,
2021-04-12,5.12,,,,,
2021-04-13,1.28,,,,,
2021-04-14,1.52,,,,,
2021-04-15,-5.25,,,,,
2021-04-16,-4.06,,,,,
2021-04-17,-0.23,,,,,
2021-04-18,4.86,,,,,
2021-04-19,-1.76,,,,,
2021-04-20,-5.43,,,,,
2021-04-21,-13,,,,,
2021-04-22,-5.56,,,,,
2021-04-23,-5.04,,,,,
2021-04-24,-3.48,,,,,
2021-04-25,-8.51,,,,,
2021-04-26,-10.49,,,,,
2021-04-27,-15.43,,,,,
2021-04-28,-6.85,,,,,
2021-04-29,-5.93,,,,,
2021-04-30,-6.26,,,,,
2021-05-01,5.23,,,,,
2021-05-02,5.23,,,,,
2021-05-03,1.53,,,,,
2021-05-04,2.24,,,,,
2021-05-05,-2.91,,,,,
2021-05-06,1.17,,,,,
2021-05-07,2,,,,,
2021-05-08,4.28,,,,,
2021-05-09,2.74,,,,,
2021-05-10,7.75,,,,,
2021-05-11,2.89,,,,,
2021-05-12,0.57,,,,,
2021-05-13,3.21,,,,,
2021-05-14,-1.58,,,,,
2021-05-15,4.33,,,,,
2021-05-16,1.76,,,,,
2021-05-17,1.41,,,,,
2021-05-18,0.43,,,,,
2021-05-19,10.69,,,,,
2021-05-20,-1.25,,,,,
2021-05-21,6.71,,,,,
2021-05-22,3.22,,,,,
2021-05-23,-3.48,,,,,
2021-05-24,-1.29,,,,,
2021-05-25,-1.23,,,,,
2021-05-26,-2.2,,,,,
2021-05-27,-1.16,,,,,
2021-05-28,-0.2,,,,,
2021-05-29,-10.15,,,,,
2021-05-30,-3.32,,,,,
2021-05-31,-10.44,,,,,
2021-06-01,-5.64,,,,,
2021-06-02,-4.12,,,,,
2021-06-03,-4.6,,,,,
2021-06-04,-4.28,,,,,
2021-06-05,-1.49,,,,,
2021-06-06,-2.93,,,,,
2021-06-07,-5.21,,,,,
2021-06-08,-7.45,,,,,
2021-06-09,-5.04,,,,,
2021-06-10,-1.08,,,,,
2021-06-11,-1.69,,,,,
2021-06-12,-0.45,,,,,
2021-06-13,-0.93,,,,,
2021-06-14,-2.11,,,,,
2021-06-15,-2.92,,,,,
2021-06-16,-1,,,,,
2021-06-17,-0.94,,,,,
2021-06-18,1.46,,,,,
2021-06-19,0.75,,,,,
2021-06-20,-1.15,,,,,
2021-06-21,-0.46,,,,,
2021-06-22,-1.46,,,,,
2021-06-23,-0.57,,,,,
2021-06-24,-0.42,,,,,
2021-06-25,0.85,,,,,
2021-06-26,-0.48,,,,,
2021-06-27,-1.42,,,,,
2021-06-28,-2.1,,,,,
2021-06-29,-2.24,,,,,
2021-06-30,-0.99,,,,,
2021-07-01,-0.43,,,,,
2021-07-02,0.38,,,,,
2021-07-03,0.6,,,,,
2021-07-04,0.14,,,,,
2021-07-05,-0.75,,,,,
2021-07-06,-1.19,,,,,
2021-07-07,0.42,,,,,
2021-07-08,1.04,,,,,
2021-07-09,0.77,,,,,
2021-07-10,0.63,,,,,
2021-07-11,-1.18,,,,,
2021-07-12,0.13,,,,,
2021-07-13,0.1,,,,,
2021-07-14,0.13,,,,,
2021-07-15,-0.24,,,,,
2021-07-16,1.21,,,,,
2021-07-17,0.67,,,,,
2021-07-18,0.01,,,,,
2021-07-19,0.34,,,,,
2021-07-20,-0.29,,,,,
2021-07-21,0.38,,,,,
2021-07-22,-1.31,,,,,
2021-07-23,-1.82,,,,,
2021-07-24,-1.02,,,,,
2021-07-25,-2.44,,,,,
2021-07-26,-3.25,,,,,
2021-07-27,-3.35,,,,,
2021-07-28,-2.99,,,,,
2021-07-29,-2.8,,,,,
2021-07-30,-3.11,,,,,
2021-07-31,-2.25,,,,,
2021-08-01,-1.29,,,,,
2021-08-02,-0.3,,,,,
2021-08-03,0.48,,,,,
2021-08-04,-0.08,,,,,
2021-08-05,0.49,,,,,
2021-08-06,0.67,,,,,
2021-08-07,-0.65,,,,,
2021-08-08,0.73,,,,,
2021-08-09,-0.04,,,,,
2021-08-10,-1.03,,,,,
2021-08-11,-0.62,,,,,
2021-08-12,0.13,,,,,
2021-08-13,-2.59,,,,,
2021-08-14,-0.33,,,,,
2021-08-15,-0.71,,,,,
2021-08-16,-0.06,,,,,
2021-08-17,-0.17,,,,,
2021-08-18,-0.62,,,,,
2021-08-19,0.05,,,,,
2021-08-20,-0.14,,,,,
2021-08-21,0.11,,,,,
2021-08-22,-1.31,,,,,
2021-08-23,0.13,,,,,
2021-08-24,0.64,,,,,
2021-08-25,0.23,,,,,
2021-08-26,0.12,,,,,
2021-08-27,0.92,,,,,
2021-08-28,0.47,,,,,
2021-08-29,1.16,,,,,
2021-08-30,2.07,,,,,
2021-08-31,0.77,,,,,
2021-09-01,0.48,,,,,
2021-09-02,0.59,,,,,
2021-09-03,-0.86,,,,,
2021-09-04,0.12,,,,,
2021-09-05,-1.49,,,,,
2021-09-06,-0.83,,,,,
2021-09-07,2.85,,,,,
2021-09-08,2.42,,,,,
2021-09-09,1.35,,,,,
2021-09-10,3.63,,,,,
2021-09-11,3.36,,,,,
2021-09-12,1.86,,,,,
2021-09-13,2.65,,,,,
2021-09-14,1.98,,,,,
2021-09-15,2.48,,,,,
2021-09-16,2.09,,,,,
2021-09-17,-0.84,,,,,
2021-09-18,-0.83,,,,,
2021-09-19,1.03,,,,,
2021-09-20,0.79,,,,,
2021-09-21,1.5,,,,,
2021-09-22,2.36,,,,,
2021-09-23,0.27,,,,,
2021-09-24,0.77,,,,,
2021-09-25,2.18,,,,,
2021-09-26,1.6,,,,,
2021-09-27,1.08,,,,,
2021-09-28,0.42,,,,,
2021-09-29,-0.93,,,,,
2021-09-30,-2.41,,,,,
2021-10-01,-2.18,,,,,
2021-10-02,-1.15,,,,,
2021-10-03,-0.27,,,,,
2021-10-04,-0.48,,,,,
2021-10-05,-2.68,,,,,
2021-10-06,-1.71,,,,,
2021-10-07,-2.03,,,,,
2021-10-08,-0.82,,,,,
2021-10-09,-0.99,,,,,
2021-10-10,0.47,,,,,
2021-10-11,0.43,,,,,
2021-10-12,-0.24,,,,,
2021-10-13,-0.15,,,,,
2021-10-14,0.12,,,,,
2021-10-15,2.6,,,,,
2021-10-16,2.04,,,,,
2021-10-17,2.29,,,,,
2021-10-18,1.69,,,,,
2021-10-19,2.16,,,,,
2021-10-20,-0.9,,,,,
2021-10-21,0.75,,,,,
2021-10-22,0.77,,,,,
2021-10-23,1.03,,,,,
2021-10-24,1.02,,,,,
2021-10-25,-0.33,,,,,
2021-10-26,-0.3,,,,,
2021-10-27,0.03,,,,,
2021-10-28,-0.99,,,,,
2021-10-29,-2.05,,,,,
2021-10-30,-1.16,,,,,
2021-10-31,-3.18,,,,,
2021-11-01,-2.94,,,,,
2021-11-02,-4.24,,,,,
2021-11-03,-3.23,,,,,
2021-11-04,-2.17,,,,,
2021-11-05,-0.76,,,,,
2021-11-06,-1.79,,,,,
2021-11-07,-0.37,,,,,
2021-11-08,0.13,,,,,
2021-11-09,0.9,,,,,
2021-11-10,2.52,,,,,
2021-11-11,1.89,,,,,
2021-11-12,3.81,,,,,
2021-11-13,1.86,,,,,
2021-11-14,1.38,,,,,
2021-11-15,0.12,,,,,
2021-11-16,1.22,,,,,
2021-11-17,1.2,,,,,
2021-11-18,2.49,,,,,
2021-11-19,1.85,,,,,
2021-11-20,0.73,,,,,
2021-11-21,1.93,,,,,
2021-11-22,1.88,,,,,
2021-11-23,2.12,,,,,
2021-11-24,2.76,,,,,
2021-11-25,1.21,,,,,
2021-11-26,2.58,,,,,
2021-11-27,3.49,,,,,
2021-11-28,0.96,,,,,
2021-11-29,0.79,,,,,
2021-11-30,0.67,,,,,
2021-12-01,0.56,,,,,
2021-12-02,0.65,,,,,
2021-12-03,2.69,,,,,
2021-12-04,1.3,,,,,
2021-12-05,1.59,,,,,
2021-12-06,-1.4,,,,,
2021-12-07,-1.36,,,,,
2021-12-08,-1.01,,,,,
2021-12-09,0.84,,,,,
2021-12-10,2.5,,,,,
2021-12-11,-0.04,,,,,
2021-12-12,-1.08,,,,,
2021-12-13,-1.72,,,,,
2021-12-14,-2.45,,,,,
2021-12-15,-0.35,,,,,
2021-12-16,0.37,,,,,
2021-12-17,-0.23,,,,,
2021-12-18,0.14,,,,,
2021-12-19,-0.7,,,,,
2021-12-20,-3.7,,,,,
2021-12-21,-2.36,,,,,
2021-12-22,-1.7,,,,,
2021-12-23,-3.63,,,,,
2021-12-24,-1.55,,,,,
2021-12-25,-3.13,,,,,
2021-12-26,-3.44,,,,,
2021-12-27,-3.62,,,,,
2021-12-28,-1.64,,,,,
2021-12-29,-1.57,,,,,
2021-12-30,-1.56,,,,,
2021-12-31,0.2,,,,,
