Date,Kimchi,,,,,
2021-05-04,11.23,,,,,
2021-05-05,6.2,,,,,
2021-05-06,8.28,,,,,
2021-05-07,7.76,,,,,
2021-05-08,9.61,,,,,
2021-05-09,10.17,,,,,
2021-05-10,13.28,,,,,
2021-05-11,9.61,,,,,
2021-05-12,8.67,,,,,
2021-05-13,12.33,,,,,
2021-05-14,9.65,,,,,
2021-05-15,10.52,,,,,
2021-05-16,10.04,,,,,
2021-05-17,9.16,,,,,
2021-05-18,10.03,,,,,
2021-05-19,20.85,,,,,
2021-05-20,12.04,,,,,
2021-05-21,16.33,,,,,
2021-05-22,11.89,,,,,
2021-05-23,8.85,,,,,
2021-05-24,8.36,,,,,
2021-05-25,9.29,,,,,
2021-05-26,7.84,,,,,
2021-05-27,8,,,,,
2021-05-28,9.84,,,,,
2021-05-29,10.71,,,,,
2021-05-30,8.72,,,,,
2021-05-31,5.89,,,,,
2021-06-01,6.26,,,,,
2021-06-02,4.73,,,,,
2021-06-03,3.76,,,,,
2021-06-04,5.01,,,,,
2021-06-05,6.35,,,,,
2021-06-06,5.07,,,,,
2021-06-07,4.62,,,,,
2021-06-08,3.26,,,,,
2021-06-09,3.68,,,,,
2021-06-10,4.81,,,,,
2021-06-11,4.57,,,,,
2021-06-12,4.28,,,,,
2021-06-13,2.83,,,,,
2021-06-14,2.9,,,,,
2021-06-15,3.43,,,,,
2021-06-16,4.07,,,,,
2021-06-17,3.68,,,,,
2021-06-18,4.72,,,,,
2021-06-19,4.44,,,,,
2021-06-20,3.67,,,,,
2021-06-21,4.11,,,,,
2021-06-22,2.82,,,,,
2021-06-23,2.26,,,,,
2021-06-24,2.47,,,,,
2021-06-25,4.28,,,,,
2021-06-26,3.59,,,,,
2021-06-27,2.27,,,,,
2021-06-28,2.62,,,,,
2021-06-29,2.2,,,,,
2021-06-30,2.68,,,,,
2021-07-01,3.68,,,,,
2021-07-02,3.19,,,,,
2021-07-03,2.86,,,,,
2021-07-04,2.61,,,,,
2021-07-05,3.53,,,,,
2021-07-06,2.41,,,,,
2021-07-07,2.68,,,,,
2021-07-08,3.66,,,,,
2021-07-09,2.97,,,,,
2021-07-10,3.31,,,,,
2021-07-11,2.5,,,,,
2021-07-12,3.33,,,,,
2021-07-13,2.96,,,,,
2021-07-14,2.75,,,,,
2021-07-15,3.29,,,,,
2021-07-16,3.61,,,,,
2021-07-17,3.36,,,,,
2021-07-18,3.67,,,,,
2021-07-19,3.31,,,,,
2021-07-20,3.02,,,,,
2021-07-21,2.88,,,,,
2021-07-22,2.02,,,,,
2021-07-23,1.13,,,,,
2021-07-24,1.73,,,,,
2021-07-25,0.85,,,,,
2021-07-26,0.36,,,,,
2021-07-27,0,,,,,
2021-07-28,0.68,,,,,
2021-07-29,0.51,,,,,
2021-07-30,-0.09,,,,,
2021-07-31,0.63,,,,,
2021-08-01,0.73,,,,,
2021-08-02,0.84,,,,,
2021-08-03,2.21,,,,,
2021-08-04,0.76,,,,,
2021-08-05,0.86,,,,,
2021-08-06,0.67,,,,,
2021-08-07,0.03,,,,,
2021-08-08,1.23,,,,,
2021-08-09,-0.13,,,,,
2021-08-10,-0.4,,,,,
2021-08-11,0.11,,,,,
2021-08-12,0.97,,,,,
2021-08-13,-0.38,,,,,
2021-08-14,0.44,,,,,
2021-08-15,0.15,,,,,
2021-08-16,0.62,,,,,
2021-08-17,-0.14,,,,,
2021-08-18,0.62,,,,,
2021-08-19,-0.08,,,,,
2021-08-20,-0.54,,,,,
2021-08-21,0.22,,,,,
2021-08-22,-0.34,,,,,
2021-08-23,-0.25,,,,,
2021-08-24,1.08,,,,,
2021-08-25,0.38,,,,,
2021-08-26,0.74,,,,,
2021-08-27,0.77,,,,,
2021-08-28,1.09,,,,,
2021-08-29,1.08,,,,,
2021-08-30,1.53,,,,,
2021-08-31,1,,,,,
2021-09-01,0.14,,,,,
2021-09-02,0.34,,,,,
2021-09-03,0.22,,,,,
2021-09-04,0.5,,,,,
2021-09-05,-0.75,,,,,
2021-09-06,-0.06,,,,,
2021-09-07,3.94,,,,,
2021-09-08,3.5,,,,,
2021-09-09,2.87,,,,,
2021-09-10,4.63,,,,,
2021-09-11,3.5,,,,,
2021-09-12,2.2,,,,,
2021-09-13,2.86,,,,,
2021-09-14,2.48,,,,,
2021-09-15,1.73,,,,,
2021-09-16,2.03,,,,,
2021-09-17,3.1,,,,,
2021-09-18,2.67,,,,,
2021-09-19,3.9,,,,,
2021-09-20,5.42,,,,,
2021-09-21,5,,,,,
2021-09-22,4.56,,,,,
2021-09-23,3.14,,,,,
2021-09-24,3.25,,,,,
2021-09-25,3.91,,,,,
2021-09-26,3.63,,,,,
2021-09-27,4.18,,,,,
2021-09-28,3.09,,,,,
2021-09-29,2.98,,,,,
2021-09-30,3.01,,,,,
2021-10-01,2.82,,,,,
2021-10-02,3.41,,,,,
2021-10-03,2.87,,,,,
2021-10-04,2.77,,,,,
2021-10-05,1.23,,,,,
2021-10-06,1.92,,,,,
2021-10-07,2.15,,,,,
2021-10-08,2.27,,,,,
2021-10-09,1.98,,,,,
2021-10-10,3.48,,,,,
2021-10-11,3.25,,,,,
2021-10-12,3.17,,,,,
2021-10-13,2.72,,,,,
2021-10-14,2.89,,,,,
2021-10-15,3.83,,,,,
2021-10-16,3.96,,,,,
2021-10-17,4.44,,,,,
2021-10-18,3.96,,,,,
2021-10-19,4.14,,,,,
2021-10-20,2.59,,,,,
2021-10-21,4,,,,,
2021-10-22,3.94,,,,,
2021-10-23,3.75,,,,,
2021-10-24,3.91,,,,,
2021-10-25,3.49,,,,,
2021-10-26,3.66,,,,,
2021-10-27,4.48,,,,,
2021-10-28,2.97,,,,,
2021-10-29,2.09,,,,,
2021-10-30,1.42,,,,,
2021-10-31,0.82,,,,,
2021-11-01,0.99,,,,,
2021-11-02,-0.49,,,,,
2021-11-03,0.68,,,,,
2021-11-04,1.32,,,,,
2021-11-05,2.91,,,,,
2021-11-06,2.69,,,,,
2021-11-07,2.6,,,,,
2021-11-08,2.22,,,,,
2021-11-09,2.32,,,,,
2021-11-10,3.34,,,,,
2021-11-11,2.88,,,,,
2021-11-12,3.32,,,,,
2021-11-13,2.54,,,,,
2021-11-14,2.71,,,,,
2021-11-15,3.03,,,,,
2021-11-16,3.91,,,,,
2021-11-17,3.8,,,,,
2021-11-18,4.7,,,,,
2021-11-19,4.17,,,,,
2021-11-20,4.07,,,,,
2021-11-21,4.81,,,,,
2021-11-22,5.2,,,,,
2021-11-23,4.66,,,,,
2021-11-24,5.46,,,,,
2021-11-25,4.23,,,,,
2021-11-26,6.49,,,,,
2021-11-27,7.29,,,,,
2021-11-28,5.66,,,,,
2021-11-29,4.96,,,,,
2021-11-30,4.74,,,,,
2021-12-01,5.36,,,,,
2021-12-02,5.85,,,,,
2021-12-03,7.35,,,,,
2021-12-04,6.76,,,,,
2021-12-05,5.82,,,,,
2021-12-06,5.09,,,,,
2021-12-07,5.93,,,,,
2021-12-08,4.65,,,,,
2021-12-09,5.79,,,,,
2021-12-10,7.24,,,,,
2021-12-11,5.32,,,,,
2021-12-12,4.77,,,,,
2021-12-13,5.63,,,,,
2021-12-14,4.31,,,,,
2021-12-15,5.47,,,,,
2021-12-16,5.47,,,,,
2021-12-17,5.7,,,,,
2021-12-18,4.78,,,,,
2021-12-19,5.1,,,,,
2021-12-20,3.54,,,,,
2021-12-21,2.97,,,,,
2021-12-22,3.07,,,,,
2021-12-23,2,,,,,
2021-12-24,2.76,,,,,
2021-12-25,2.34,,,,,
2021-12-26,2.03,,,,,
2021-12-27,2.07,,,,,
2021-12-28,3.15,,,,,
2021-12-29,3.53,,,,,
2021-12-30,1.98,,,,,
2021-12-31,3.17,,,,,
